"1623704919478792192 2023-02-09 15:26:34 +0000 <forotrasto> SpaceX ha tomado medidas para evitar que las fuerzas de Kiev utilicen el servicio de Internet satelital Starlink para controlar los drones utilizados en operaciones militares, dijo el presidente de SpaceX el 8 de febrero.  https://t.co/VB2ylCI6Es
",forotrasto spacex ha tomado medidas para evitar que las fuerzas de kiev utilicen el servicio de internet satelital starlink para controlar los drones utilizados en operaciones militares dijo el presidente de spacex el de febrero,0,0,0.34,positive
"1623322064043102217 2023-02-08 14:05:14 +0000 <daniilsr1997> @elonmusk @considercosmos @SpaceX Made by GPTians. 🤖
",daniilsr made by gptians 🤖,0,0,0.0,neutral
"1623418070600667136 2023-02-08 20:26:44 +0000 <Drterax> @SpaceX @Hispasat Wow that's awesome
",drterax wow thats awesome,0,0,0.836,positive
"1623328779748708357 2023-02-08 14:31:55 +0000 <ARMYANDAIRFORCE> @SpaceX @elonmusk Elon, Turkey has shut down Twitter. The optics for the government response to the disaster are appalling. Anyone reading please re-Tweet. Don't think he will see it , and maybe it wouldn't matter...but it's important. Thanks
",armyandairforce elon turkey has shut down twitter the optics for the government response to the disaster are appalling anyone reading please retweet dont think he will see it and maybe it wouldnt matterbut its important thanks,0,0,-0.4574,negative
"1624003734513623041 2023-02-10 11:13:57 +0000 <BlantonSecviar> Will Geometric Energy Corporation and SpaceX Use Artificial Intelligence in the Doge-1 Mission to the Moon?🪙🚀  ▶️  https://t.co/j4RlxEGa0j   #dogecoin #doge #doge1
",blantonsecviar will geometric energy corporation and spacex use artificial intelligence in the doge mission to the moon🪙🚀 ▶️ dogecoin doge doge,0,0,0.6369,positive
"1623421198750126085 2023-02-08 20:39:10 +0000 <IamLori87> @Aenjuur @99luftspyballon @ADorkableDiabla @iam_pann @SpaceX @Missus_Massacre @venjuur @MyWhiteNinja_ @coldKYrain1977 @ltsKatysWorld She's such a SNAKE 🐍🐍🐍🐍
",iamlori shes such a snake 🐍🐍🐍🐍,0,4,-4.0,negative
"1622960616549007361 2023-02-07 14:08:58 +0000 <Butch2jug> @teslaownersSV @SpaceX @NASA @elonmusk Feeling the joy
",butchjug feeling the joy,0,0,0.6486,positive
"1623352769250721794 2023-02-08 16:07:15 +0000 <eyupexe> @SpaceX @Hispasat turke There is an earthquake in Turkey and political leaders have restricted access, we can't hear anything please help @elonmusk
",eyupexe turke there is an earthquake in turkey and political leaders have restricted access we cant hear anything please help,0,0,-0.2173,negative
"1623369538636025885 2023-02-08 17:13:53 +0000 <01SAKI92> @SpaceX @Hispasat Help Turkey 🙏🏼
",saki help turkey 🙏🏼,0,0,0.4019,positive
"1623331420411158528 2023-02-08 14:42:25 +0000 <joelkalsi> @elonmusk @considercosmos @SpaceX I don’t think we are ready for this. Looking at how most people ”think”, I think we should go back to 1500s, or maybe earlier. We need a more darwinian approach to favouring genetics for a long time before growing even to a global scale society.
",joelkalsi i don’t think we are ready for this looking at how most people ”think” i think we should go back to s or maybe earlier we need a more darwinian approach to favouring genetics for a long time before growing even to a global scale society,0,0,0.6705,positive
"1623357075119083532 2023-02-08 16:24:21 +0000 <StonedMrVader> @SpaceX Pouco caro graças a Deus
",stonedmrvader pouco caro graças a deus,0,0,0.0,neutral
"1623381724519432192 2023-02-08 18:02:18 +0000 <TradezNChillz> @Mr_Derivatives Right?! $TSLA has been a day trader’s paradise, not a good investment, since I sold at top of 2021. Is it suddenly an excellent investment again just because Elon said so? I have more confidence in SpaceX than I do in his ugly cars &amp; trucks, lol!  https://t.co/bXux3i984D
",tradeznchillz right tsla has been a day trader’s paradise not a good investment since i sold at top of is it suddenly an excellent investment again just because elon said so i have more confidence in spacex than i do in his ugly cars amp trucks lol,0,0,0.8922,positive
"1623691802317316103 2023-02-09 14:34:27 +0000 <bpodchezertsev> SpaceX 33-Engine Static Fire of Booster 7  https://t.co/9udBpOKlpJ через @YouTube
",bpodchezertsev spacex engine static fire of booster через,0,0,-0.34,negative
"1623337192356474884 2023-02-08 15:05:21 +0000 <CMCXmaS_> U2 - With Or Without You ( Deep House Mix By Mazen Hanna )  https://t.co/h9k1omXOQ5 vía @YouTube  @AhmedMohammed 💌💍’s 🇷🇺@Markzukenberg0 🔨 @JimmyPage SpaceX 💍  https://t.co/qdwq1NRd3g
",cmcxmas u with or without you deep house mix by mazen hanna vía 💌💍’s 🇷🇺 🔨 spacex 💍,0,0,0.0,neutral
"1623987638054146049 2023-02-10 10:09:59 +0000 <UAPFirstContact> WEAPONIZED : EPISODE #2 with Jeremy Corbell &amp; George Knapp    https://t.co/sFm9a2Tt76 via @g_knapp @JeremyCorbell   #ufotwitter #UFO #UAP #FirstContact #UFOs #UAPs #uaptwitter #ufosightings #boblazar #ArtBell #Aliens #Extraterrestrials #SpaceX #ElonMusk #exoplanets #spaceflight
",uapfirstcontact weaponized episode with jeremy corbell amp george knapp via ufotwitter ufo uap firstcontact ufos uaps uaptwitter ufosightings boblazar artbell aliens extraterrestrials spacex elonmusk exoplanets spaceflight,0,0,0.0,neutral
"1623992169718505473 2023-02-10 10:28:00 +0000 <mcboyle> @SpaceX: Gives Ukraine Starlink for use during an invasion   @DefenceU: Uses Starlink to defend itself/fightback through drone usage  @SpaceX: Limits use as ""It was only meant for communication"" ...  Space X are choosing the wrong side.   https://t.co/9mw6jh8Rgq
",mcboyle gives ukraine starlink for use during an invasion uses starlink to defend itselffightback through drone usage limits use as it was only meant for communication space x are choosing the wrong side,0,0,-0.4767,negative
